Model,Accuracy,Precision,Recall,F1-Score,AUC-Score
XGBoost,0.6974358974358974,0.4807692307692308,0.43859649122807015,0.45871559633027525,0.6857360793287566
Decision Tree,0.6461538461538462,0.4117647058823529,0.49122807017543857,0.448,0.6006864988558352
Gradient Boosting,0.6666666666666666,0.4230769230769231,0.38596491228070173,0.4036697247706422,0.6273836765827612
SVM,0.6205128205128205,0.36065573770491804,0.38596491228070173,0.3728813559322034,0.5526315789473684
Logistic Regression,0.5333333333333333,0.2976190476190476,0.43859649122807015,0.3546099290780142,0.5268243071446732
Random Forest,0.6615384615384615,0.3953488372093023,0.2982456140350877,0.34,0.6348207475209763
